Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Red Rice,"Carrot curry, Dhal Vade, Indian Fish Curry","Red Rice with Carrot curry, Dhal Vade, Indian Fish Curry","Red rice, Carrot,  Coconut milk,  chillies, curry leaves, Lentils,  chillie,  Oil, Fish","120.0, 150.0, 90.0, 40.0, 15.0, 100.0, 30.0, 60.0, 60.0","SLA009, SLB002, SLI005, SLK002, SLK009, SLC009, SLJ002, SLF034"
Red Rice,"Jackfruit Curry, Thalapath Fish Curry, Pineapple Pickle","Red Rice with Jackfruit Curry, Thalapath Fish Curry, Pineapple Pickle","Red rice, Jackfruit,  Coconut milk, curry leaves, Thalapath fish,  Spices, Pineapple,  pepper,  salt","120.0, 45.0, 80.0, 15.0, 100.0, 20.0, 50.0, 10.0, 5.0","SLA009, SLD049, SLI005, SLK009, SLF019, SLK006, SLE041,  SLK018"
Red Rice,"Mustard Greens Curry, Murukku, Cucumber Sambol","Red Rice with Mustard Greens Curry, Murukku, Cucumber Sambol","Red rice, Mustard greens,  Coconut milk,  Chillies, flour, Cucumber,  Coconut,  pepper","120.0, 150.0, 75.0, 70.0, 100.0, 60.0, 30.0, 5.0","SLA009, SLI025,  SLI005,  SLK002, SLA08, SLD038, SLI005,  SLK018"
Red Rice,"Pol Sambol, Soya Meat Curry, Spicy Crab","Red Rice with Pol Sambol, Soya Meat Curry, Spicy Crab","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Soya meat,  Coconut milk,  Chillies, Crab,  Oil,  chillies","120.0, 150.0, 15.0, 30.0, 9.0, 9.0, 100.0, 50.0, 20.0, 70.0, 20.0, 10.0","SLA009, SLI005, SLK002, SLD060, SLE028, SLK011, SLK008, SLK004, SLF045, SLJ002"
Red Rice,"Fish Curry, Ash Plantain Curry, Coconut Sambol","Red Rice with Fish Curry, Ash Plantain Curry, Coconut Sambol","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Ash plantain,  Chillies, Coconut,  Chili,  Onion","120.0, 150.0, 110.0, 9.0, 6.0, 100.0, 20.0, 50.0, 15.0, 20.0","SLA009, SLF013, SLI005, SLK006, SLK009, SLD005, SLK004,  SLK002, SLD060"
Red Rice,"Vegetable Balls, Coconut Sambol, Pumpkin curry","Red Rice with Vegetable Balls, Coconut Sambol, Pumpkin curry","Red rice, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper, Coconut,  Chili,  Onion, Pumpkin,  Coconut milk","120.0, 90.0, 150.0, 30.0, 100.0, 30.0, 40.0, 60.0, 20.0, 10.0, 5.0","SLA009, SLB002,  SLD055,  SLD049,  SLB006,  SLK018, SLI005,  SLK002, SLD060, SLD071, SLK002, SLK009"
Red Rice,"Okra Curry, Ginger Chicken, Beetroot curry","Red Rice with Okra Curry, Ginger Chicken, Beetroot curry","Red rice, Okra,  Coconut milk,  Chillies, Chicken,  Ginger, Beetroot,  chillies, curry leaves","120.0, 150.0, 105.0, 50.0, 100.0, 50.0, 70.0, 10.0, 10.0","SLA009, SLD053,  SLI005, SLK002, SLH006, SLK012, SLB001, SLI005, SLK009"
Red Rice,"Chicken Curry, Seer Fish Curry, Fish Cutlets","Red Rice with Chicken Curry, Seer Fish Curry, Fish Cutlets","Red rice, Chicken,  Coconut milk,  Spices, Seer fish,  Chillies, Fish,  Potatoes","120.0, 120.0, 80.0, 15.0, 100.0, 30.0, 30.0, 50.0","SLA009, SLH006, SLI005, SLK006, SLF025,  SLI005, SLK002, SLF034,  SLB006,  SLK002"
Red Rice,"Prawn Curry, Beef Curry, Sinhala Achcharu","Red Rice with Prawn Curry, Beef Curry, Sinhala Achcharu","Red rice, Prawn,  Coconut milk,  Chillies, Beef, Carrot,  onion,  green chillies,  Vinegar","120.0, 150.0, 125.0, 50.0, 120.0, 30.0, 35.0, 15.0, 10.0","SLA009, SLF043,  SLI005, SLK002, SLH016, SLB002, SLD060, SLI017"
Red Rice,"Seer Fish Curry, potatoe cheese Balls, Gotu Kola Sambol","Red Rice with Seer Fish Curry, potatoe cheese Balls, Gotu Kola Sambol","Red rice, Seer fish,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper, Gotu Kola,  Coconut,  Onion","120.0, 150.0, 75.0, 30.0, 60.0, 120.0, 20.0, 10.0, 15.0, 15.0","SLA009, SLF025,  SLI005, SLK002, SLG002,  SLB006,  SLK018, SLD048, SLI005, SLD060"
Red Rice,"Cashew Curry, Mango Chutney, Spicy Crab","Red Rice with Cashew Curry, Mango Chutney, Spicy Crab","Red rice, Cashew,  Coconut milk,  Chillies, Mango,  Vinegar,  sugar, Crab,  Oil,  chillies","120.0, 150.0, 75.0, 30.0, 80.0, 20.0, 20.0, 70.0, 20.0, 10.0","SLA009, SLI004,  SLI005, SLK002, SLE030, SLI017, SLI011, SLF045, SLJ002"
Red Rice,"Jackfruit Curry, Fish Cutlets, Mango Chutney","Red Rice with Jackfruit Curry, Fish Cutlets, Mango Chutney","Red rice, Jackfruit,  Coconut milk, curry leaves, Fish,  Potatoes,  Chillies, Mango,  Vinegar,  sugar","120.0, 45.0, 30.0, 15.0, 60.0, 100.0, 20.0, 40.0, 10.0, 10.0","SLA009, SLD049, SLI005, SLK009, SLF034,  SLB006,  SLK002, SLE030, SLI017, SLI011"
Red Rice,"Chicken Curry, Bitter Gourd Salad, Ulundu Wade","Red Rice with Chicken Curry, Bitter Gourd Salad, Ulundu Wade","Red rice, Chicken,  Coconut milk,  Spices, Bitter gourd,  Coconut,  Onion, Urad,  flour,  Oil","120.0, 120.0, 30.0, 15.0, 100.0, 50.0, 20.0, 30.0, 40.0, 20.0","SLA009, SLH006, SLI005, SLK006, SLD013, SLI006, SLI020,  SLA08,  SLJ002"
Red Rice,"Chicken Curry, Sweet Corn Curry, Kiri Hodi","Red Rice with Chicken Curry, Sweet Corn Curry, Kiri Hodi","Red rice, Chicken,  Coconut milk,  Spices, Sweet corn,  Chillies, Coconut milk","120.0, 120.0, 80.0, 15.0, 100.0, 20.0, 60.0","SLA009, SLH006, SLI005, SLK006, SLD037,  SLI005 , SLK002"
Red Rice,"Mango Curry, Beef Curry, Shrimp Cutlets","Red Rice with Mango Curry, Beef Curry, Shrimp Cutlets","Red rice, Mango,  Coconut milk,  Spices, Beef,  Chillies, Shrimp,  Potatoes,  flour","120.0, 150.0, 125.0, 30.0, 120.0, 20.0, 30.0, 50.0, 20.0","SLA009, SLE030, SLI005, SLK006, SLH016,  SLI005, SLK002, SLI015, SLB006, SLA018"
Red Rice,"Fish Ambul Thiyal, Ash Plantain Curry, Chickpea Salad","Red Rice with Fish Ambul Thiyal, Ash Plantain Curry, Chickpea Salad","Red rice, Fish,  Goraka,  Spices, Ash plantain,  Coconut milk,  Chillies, Chickpeas,  Carrot,  Cabbage","120.0, 240.0, 30.0, 30.0, 100.0, 50.0, 20.0, 60.0, 30.0, 30.0","SLA009, SLF006, SLK005, SLK006, SLD005, SLI005, SLK004, SLI013, SLB002, SLD021"
Red Rice,"Cashew Curry, Ginger Chicken, Tropical Salad","Red Rice with Cashew Curry, Ginger Chicken, Tropical Salad","Red rice, Cashew,  Coconut milk,  Chillies, Chicken,  Ginger, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","120.0, 150.0, 75.0, 50.0, 100.0, 50.0, 30.0, 20.0, 30.0, 20.0, 30.0","SLA009, SLI004,  SLI005, SLK002, SLH006, SLK012, SLD058, SLE001, SLB002, SLE041, SLD038"
Red Rice,"Fish Ambul Thiyal, Devilled Fish, Capsicum Curry","Red Rice with Fish Ambul Thiyal, Devilled Fish, Capsicum Curry","Red rice, Fish,  Goraka,  Spices,  Chili,  Curry leaves, Onion, Capsicum,  Coconut milk,  Chillies","120.0, 340.0, 30.0, 30.0, 10.0, 10.0, 40.0, 50.0, 25.0, 10.0","SLA009, SLF006, SLK005, SLK006, SLK002, SLK009, SLD060, SLF045,  SLI005"
Red Rice,"Mint Sambol, Maalu Badun, Devilled Beef","Red Rice with Mint Sambol, Maalu Badun, Devilled Beef","Red rice, Mint,  Coconut,  pepper, Fish,  Oil, Beef,  chillies","120.0, 180.0, 90.0, 15.0, 180.0, 60.0, 80.0, 5.0","SLA009, SLI020,  SLI005, SLK018, SLF035, SLJ002, SLH016, SLK002"
Red Rice,"Jackfruit Curry, Green Banana Curry, Pineapple Pickle","Red Rice with Jackfruit Curry, Green Banana Curry, Pineapple Pickle","Red rice, Jackfruit,  Coconut milk, curry leaves, Green banana,  Chillies, Pineapple,  pepper,  salt","120.0, 45.0, 80.0, 15.0, 100.0, 20.0, 50.0, 10.0, 5.0","SLA009, SLD049, SLI005, SLK009, SLD065,  SLI005, SLK002, SLE041,  SLK018"
Red Rice,"Pumpkin Leaves Curry, Sesame Seed Sambol, Devilled Beef","Red Rice with Pumpkin Leaves Curry, Sesame Seed Sambol, Devilled Beef","Red rice, Pumpkin leaves,  Coconut milk,  Chillies, Sesame seed,  Chili,  Onion, Beef,  Oil,  chillies","120.0, 150.0, 75.0, 30.0, 100.0, 50.0, 20.0, 80.0, 30.0, 5.0","SLA009, SLI026,  SLI005, SLK002, SLI023,  SLD060, SLH016, SLJ002"
Red Rice,"Devilled Chicken, Papaya Curry, Vegetable Balls","Red Rice with Devilled Chicken, Papaya Curry, Vegetable Balls","Red rice, Chicken,  Chili,  Curry leaves, Onion, Papaya,  Coconut milk,  Spices, Carrot,  leeks,  Jackfruit","120.0, 150.0, 15.0, 30.0, 60.0, 100.0, 50.0, 20.0, 30.0, 50.0, 10.0","SLA009, SLH006, SLK002, SLK009, SLD060, SLE038, SLI006, SLK004, SLB002,  SLD055,  SLD049,  SLB006,  SLK018"
Red Rice,"Pineapple Curry, Polos Mallum, Tender Jackfruit Fry","Red Rice with Pineapple Curry, Polos Mallum, Tender Jackfruit Fry","Red rice, Pineapple,  Coconut milk,  Spices, Jackfruit,  Coconut,  oil,  Oil","120.0, 150.0, 75.0, 30.0, 190.0, 60.0, 10.0, 20.0","SLA009, SLE041, SLI005, SLK006, SLE024, SLJ002, SLD049"
Red Rice,"Bitter Gourd Salad, Mango Curry, Polos Ambula","Red Rice with Bitter Gourd Salad, Mango Curry, Polos Ambula","Red rice, Bitter gourd,  Coconut,  Onion, Mango,  Coconut milk,  Spices, Jackfruit,  coconut milk,  chillies,  curry leaves","120.0, 150.0, 75.0, 30.0, 100.0, 50.0, 20.0, 80.0, 30.0, 10.0, 10.0","SLA009, SLD013, SLI005, SLI006, SLE030, SLK006, SLD049, SLK002, SLK009"
Red Rice,"Banana Blossom Curry, Mango Curry, Carrot curry","Red Rice with Banana Blossom Curry, Mango Curry, Carrot curry","Red rice, Banana blossom,  Coconut milk,  Spices, Mango, Carrot,  chillies, curry leaves","120.0, 60.0, 100.0, 35.0, 100.0, 50.0, 10.0, 5.0","SLA009, SLD065, SLI005, SLK006, SLE030, SLB002, SLK002, SLK009"
Red Rice,"Fish Curry, Bean Curry, Simmered Fish Roe","Red Rice with Fish Curry, Bean Curry, Simmered Fish Roe","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Beans,  Oil,  flour,  egg","120.0, 220.0, 140.0, 69.0, 6.0, 60.0, 30.0, 20.0, 10.0","SLA009, SLF013, SLI005, SLK006, SLK009, SLD006, SLF054, SLA018, SLH001"
Red Rice,"Bathala Curry, Brinjal Moju, Polos Ambula","Red Rice with Bathala Curry, Brinjal Moju, Polos Ambula","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Eggplant,  Vinegar, Jackfruit,  coconut milk,  chillies,  curry leaves","120.0, 150.0, 60.0, 75.0, 9.0, 60.0, 80.0, 80.0, 30.0, 10.0, 10.0","SLA009, SLB010, SLI005, SLK006, SLK009, SLD019,  SLI017,  SLK006, SLD049, SLK002"
Red Rice,"Okra Curry, Coriander Sambol, Jaffna Crab Curry","Red Rice with Okra Curry, Coriander Sambol, Jaffna Crab Curry","Red rice, Okra,  Coconut milk,  Chillies, Coriander,  Coconut,  pepper, Crab","120.0, 150.0, 100.0, 40.0, 120.0, 60.0, 10.0, 50.0","SLA009, SLD053,  SLI005, SLK002, SLK006, SLI005, SLK018, SLF045"
Red Rice,"Thalapath Fish Curry, Octopus Curry, Shrimp Cutlets","Red Rice with Thalapath Fish Curry, Octopus Curry, Shrimp Cutlets","Red rice, Thalapath fish,  Coconut milk,  Spices, Octopus,  Chillies, Shrimp,  Potatoes,  flour","120.0, 150.0, 125.0, 30.0, 100.0, 20.0, 30.0, 50.0, 20.0","SLA009, SLF019, SLI005, SLK006, SLF042,  SLI005, SLK002, SLI015, SLB006, SLA018"
Red Rice,"Devilled Fish, Spinach Curry, Polos Ambula","Red Rice with Devilled Fish, Spinach Curry, Polos Ambula","Red rice, Fish,  Chili,  Curry leaves, Onion, Spinach,  Coconut milk,  Spices, Jackfruit,  coconut milk,  chillies,  curry leaves","120.0, 150.0, 15.0, 15.0, 60.0, 60.0, 80.0, 60.0, 80.0, 30.0, 10.0, 10.0","SLA009, SLF006, SLK002, SLK009, SLD060, SLI022,  SLI005, SLK006, SLD049, SLI005"
Red Rice,"Brinjal Moju, Bitter Gourd Curry, Mustard Greens Curry","Red Rice with Brinjal Moju, Bitter Gourd Curry, Mustard Greens Curry","Red rice, Eggplant,  Vinegar,  Spices, Bitter gourd,  Coconut milk, Mustard greens,  Chillies","120.0, 90.0, 120.0, 110.0, 100.0, 75.0, 50.0, 10.0","SLA009, SLD019,  SLI017,  SLK006, SLD013, SLI005, SLK006, SLI025,  SLI005,  SLK002"
Red Rice,"Bathala Curry, Carrot curry, Simmered Fish Roe","Red Rice with Bathala Curry, Carrot curry, Simmered Fish Roe","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Carrot,  chillies, Fish,  Oil,  flour,  egg","120.0, 150.0, 100.0, 15.0, 19.0, 100.0, 20.0, 70.0, 30.0, 20.0, 10.0","SLA009, SLB010, SLI005, SLK006, SLK009, SLB002, SLK002, SLF054, SLA018, SLH001"
Red Rice,"Pineapple Curry, Tomato Curry, Shrimp Cutlets","Red Rice with Pineapple Curry, Tomato Curry, Shrimp Cutlets","Red rice, Pineapple,  Coconut milk,  Spices, Tomato,  Chillies, Shrimp,  Potatoes,  flour","120.0, 150.0, 125.0, 30.0, 100.0, 20.0, 30.0, 50.0, 20.0","SLA009, SLE041, SLI005, SLK006, SLD082, SLK004, SLI015, SLB006, SLA018"
Red Rice,"Beetroot Curry, Radish Sambol, Sprats Fry","Red Rice with Beetroot Curry, Radish Sambol, Sprats Fry","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Radish,  Coconut,  pepper, Dried fish,  Oil,  Chillies","120.0, 90.0, 60.0, 15.0, 6.0, 120.0, 60.0, 10.0, 40.0, 20.0, 10.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLB007, SLK018, SLF019, SLJ002, SLK002"
Red Rice,"Gotu Kola Sambol, Pineapple Curry, Chickpea Salad","Red Rice with Gotu Kola Sambol, Pineapple Curry, Chickpea Salad","Red rice, Gotu Kola,  Coconut,  Onion, Pineapple,  Coconut milk,  Spices, Chickpeas,  Carrot,  Cabbage","120.0, 30.0, 45.0, 45.0, 100.0, 50.0, 20.0, 60.0, 30.0, 30.0","SLA009, SLD048, SLI005, SLD060, SLE041, SLK006, SLI013, SLB002, SLD021"
Red Rice,"Beetroot Curry, Bathala Curry, Seer Fish Curry","Red Rice with Beetroot Curry, Bathala Curry, Seer Fish Curry","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Sweet potato, Seer fish,  Chillies","120.0, 90.0, 125.0, 25.0, 12.0, 100.0, 50.0, 10.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLB010, SLF025,  SLI005, SLK002"
Red Rice,"Lotus Root Curry, Fish Patties, Devilled Beef","Red Rice with Lotus Root Curry, Fish Patties, Devilled Beef","Red rice, Lotus root,  Coconut milk,  Chillies, Fish,  Flour,  Oil, Beef,  chillies","120.0, 150.0, 75.0, 30.0, 80.0, 60.0, 90.0, 80.0, 5.0","SLA009, SLB005,  SLI005, SLK002, SLF036,  SLF034,  SLJ002, SLH016, SLJ002"
Red Rice,"Cuttlefish Curry, Kohila Curry, Dhal Vade","Red Rice with Cuttlefish Curry, Kohila Curry, Dhal Vade","Red rice, Cuttlefish,  Coconut milk,  Spices, Kohila,  Chillies, Lentils,  chillie,  Oil","120.0, 150.0, 125.0, 30.0, 100.0, 20.0, 50.0, 15.0, 30.0","SLA009, SLK007, SLI005, SLK006, SLB004,  SLI005, SLK002, SLC009, SLJ002"
Red Rice,"Dhal Curry, Cabbage Mallung, Coriander Sambol","Red Rice with Dhal Curry, Cabbage Mallung, Coriander Sambol","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Cabbage,  Coconut, Coriander,  pepper","120.0, 240.0, 30.0, 25.0, 15.0, 40.0, 50.0, 60.0, 5.0","SLA009, SLC009, SLI005, SLK006, SLK019, SLD021, SLK018"
Red Rice,"Brinjal Moju, Snake Gourd Curry, Radish Sambol","Red Rice with Brinjal Moju, Snake Gourd Curry, Radish Sambol","Red rice, Eggplant,  Vinegar,  Spices, Snake gourd,  Coconut milk, Radish,  Coconut,  pepper","120.0, 90.0, 120.0, 110.0, 100.0, 50.0, 60.0, 30.0, 5.0","SLA009, SLD019,  SLI017,  SLK006, SLD077, SLI005, SLK006, SLB007, SLK018"
Red Rice,"Drumstick Curry, Green Banana Curry, Jaffna Crab Curry","Red Rice with Drumstick Curry, Green Banana Curry, Jaffna Crab Curry","Red rice, Drumstick,  Coconut milk,  Spices, Green banana,  Chillies, Crab","120.0, 150.0, 135.0, 15.0, 100.0, 30.0, 50.0","SLA009, SLD041, SLI005, SLK006, SLD065,  SLI005, SLK002, SLF045"
Red Rice,"Fish Curry, Shrimp Cutlets, Indian Fish Curry","Red Rice with Fish Curry, Shrimp Cutlets, Indian Fish Curry","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Shrimp,  Potatoes,  flour,  chillies","120.0, 210.0, 90.0, 9.0, 6.0, 60.0, 100.0, 40.0, 10.0","SLA009, SLF013, SLI005, SLK006, SLK009, SLI015, SLB006, SLA018, SLF034, SLK002"
Red Rice,"Green Banana Curry, Coriander Sambol, Sprats Fry","Red Rice with Green Banana Curry, Coriander Sambol, Sprats Fry","Red rice, Green banana,  Coconut milk,  Chillies, Coriander,  Coconut,  pepper, Dried fish,  Oil","120.0, 150.0, 75.0, 40.0, 120.0, 60.0, 10.0, 40.0, 20.0","SLA009, SLD065,  SLI005, SLK002, SLK006, SLI005, SLK018, SLF019, SLJ002"
Red Rice,"Mango Curry, Cucumber Sambol, Devilled Beef","Red Rice with Mango Curry, Cucumber Sambol, Devilled Beef","Red rice, Mango,  Coconut milk,  Spices, Cucumber,  Coconut,  pepper, Beef,  Oil,  chillies","120.0, 150.0, 75.0, 30.0, 120.0, 60.0, 10.0, 80.0, 30.0, 5.0","SLA009, SLE030, SLI005, SLK006, SLD038,  SLK018, SLH016, SLJ002, SLK002"
Red Rice,"Spinach Curry, Dhal Vade, Sinhala Achcharu","Red Rice with Spinach Curry, Dhal Vade, Sinhala Achcharu","Red rice, Spinach,  Coconut milk,  Spices, Lentils,  chillie,  Oil, Carrot,  onion,  green chillies,  Vinegar","120.0, 90.0, 120.0, 90.0, 100.0, 30.0, 60.0, 30.0, 35.0, 15.0, 10.0","SLA009, SLI022,  SLI005, SLK006, SLC009, SLK002, SLJ002, SLB002, SLD060, SLI017"
Red Rice,"Tomato Curry, Bitter Leaf Curry, Ginger Chicken","Red Rice with Tomato Curry, Bitter Leaf Curry, Ginger Chicken","Red rice, Tomato,  Coconut milk,  Chillies, Bitter leaves, Chicken,  Ginger","120.0, 150.0, 125.0, 60.0, 100.0, 50.0, 25.0","SLA009, SLD082, SLI005, SLK004, SLD013, SLK002, SLH006, SLK012"
Red Rice,"Cashew Curry, Fish Cutlets, Carrot curry","Red Rice with Cashew Curry, Fish Cutlets, Carrot curry","Red rice, Cashew,  Coconut milk,  Chillies, Fish,  Potatoes, Carrot,  chillies, curry leaves","120.0, 150.0, 95.0, 50.0, 60.0, 100.0, 50.0, 10.0, 5.0","SLA009, SLI004,  SLI005, SLK002, SLF034,  SLB006,  SLK002, SLB002, SLI005, SLK009"
Red Rice,"Elumas Curry, Carrot Curry, Bitter Gourd Curry","Red Rice with Elumas Curry, Carrot Curry, Bitter Gourd Curry","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Carrot, Bitter gourd","120.0, 150.0, 125.0, 35.0, 6.0, 100.0, 50.0","SLA009, SLH018, SLI005, SLK006, SLK009, SLB002, SLD013"
Red Rice,"Beetroot curry, Batu Moju, Indian Fish Curry","Red Rice with Beetroot curry, Batu Moju, Indian Fish Curry","Red rice, Beetroot,  Coconut milk,  chillies, curry leaves, Eggplant,  garlic, Fish","120.0, 210.0, 150.0, 60.0, 30.0, 140.0, 30.0, 10.0","SLA009, SLB001, SLI005, SLK002, SLK009, SLD019, SLK011, SLF034"
Red Rice,"Elumas Curry, Lotus Root Curry, Tapioca Chips","Red Rice with Elumas Curry, Lotus Root Curry, Tapioca Chips","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Lotus root,  Chillies, Tapioca,  Oil,  Salt,  chillies","120.0, 150.0, 110.0, 15.0, 6.0, 100.0, 20.0, 50.0, 20.0, 10.0, 10.0","SLA009, SLH018, SLI005, SLK006, SLK009, SLB005,  SLI005, SLK002, SLB011,  SLJ002,  SLK002"
Red Rice,"Pumpkin Leaves Curry, Okra Curry, Ginger Chicken","Red Rice with Pumpkin Leaves Curry, Okra Curry, Ginger Chicken","Red rice, Pumpkin leaves,  Coconut milk,  Chillies, Okra, Chicken,  Ginger","120.0, 150.0, 125.0, 60.0, 100.0, 50.0, 25.0","SLA009, SLI026,  SLI005, SLK002, SLD053, SLH006, SLK012"
Red Rice,"Beetroot Curry, Fish Curry, Vegetable Cutlets","Red Rice with Beetroot Curry, Fish Curry, Vegetable Cutlets","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Fish, Carrot,  Potatoes,  Chillies","120.0, 90.0, 100.0, 21.0, 10.0, 100.0, 30.0, 40.0, 10.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLF013, SLB002,  SLB006,  SLK002"
Red Rice,"Elumas Curry, Radish Sambol, Shrimp Cutlets","Red Rice with Elumas Curry, Radish Sambol, Shrimp Cutlets","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Radish,  Coconut,  pepper, Shrimp,  Potatoes,  flour","120.0, 150.0, 60.0, 15.0, 6.0, 120.0, 60.0, 10.0, 30.0, 50.0, 20.0","SLA009, SLH018, SLI005, SLK006, SLK009, SLB007, SLK018, SLI015, SLB006, SLA018"
Red Rice,"Bitter Gourd Salad, Papaya Curry, Mustard Greens Curry","Red Rice with Bitter Gourd Salad, Papaya Curry, Mustard Greens Curry","Red rice, Bitter gourd,  Coconut,  Onion, Papaya,  Coconut milk,  Spices, Mustard greens,  Chillies","120.0, 150.0, 75.0, 30.0, 100.0, 75.0, 20.0, 50.0, 10.0","SLA009, SLD013, SLI005, SLI006, SLE038, SLK004, SLI025,  SLI005,  SLK002"
Red Rice,"Bitter Gourd Salad, Leeks Curry, Coriander Sambol","Red Rice with Bitter Gourd Salad, Leeks Curry, Coriander Sambol","Red rice, Bitter gourd,  Coconut,  Onion, Leeks,  Coconut milk,  Chillies, Coriander,  pepper","120.0, 150.0, 105.0, 30.0, 100.0, 50.0, 20.0, 60.0, 5.0","SLA009, SLD013, SLI005, SLI006, SLD055,  SLI005, SLK002, SLK006, SLK018"
Red Rice,"Gotu Kola Sambol, Malu Mirisata, Indian Fish Curry","Red Rice with Gotu Kola Sambol, Malu Mirisata, Indian Fish Curry","Red rice, Gotu Kola,  Coconut,  Onion, Fish,  Chili,  curry leaves,  Coconut milk,  chillies","120.0, 30.0, 45.0, 45.0, 160.0, 20.0, 6.0, 30.0, 10.0","SLA009, SLD048, SLI005, SLD060, SLF013, SLK002, SLK009, SLF034"
Red Rice,"Bitter Leaf Curry, Jaffna Crab Curry, Fish Cutlets","Red Rice with Bitter Leaf Curry, Jaffna Crab Curry, Fish Cutlets","Red rice, Bitter leaves,  Coconut milk,  Chillies, Crab, Fish,  Potatoes","120.0, 150.0, 125.0, 60.0, 100.0, 30.0, 50.0","SLA009, SLD013, SLI005, SLK002, SLF045,  SLI005, SLF034,  SLB006,  SLK002"
Red Rice,"Drumstick Curry, Gotu Kola Sambol, Tropical Salad","Red Rice with Drumstick Curry, Gotu Kola Sambol, Tropical Salad","Red rice, Drumstick,  Coconut milk,  Spices, Gotu Kola,  Coconut,  Onion, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","120.0, 150.0, 60.0, 15.0, 20.0, 30.0, 30.0, 30.0, 20.0, 30.0, 20.0, 30.0","SLA009, SLD041, SLI005, SLK006, SLD048, SLD060, SLD058, SLE001, SLB002, SLE041, SLD038"
Red Rice,"Pol Sambol, Coriander Sambol, Fish Curry","Red Rice with Pol Sambol, Coriander Sambol, Fish Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Coriander,  Coconut,  pepper, Fish,  Coconut milk,  Spices, curry leaves","120.0, 150.0, 15.0, 30.0, 9.0, 9.0, 120.0, 60.0, 10.0, 50.0, 20.0, 3.0, 2.0","SLA009, SLI005, SLK002, SLD060, SLE028, SLK011, SLK006, SLK018, SLF013, SLK009"
Red Rice,"Elumas Curry, Octopus Curry, Radish Sambol","Red Rice with Elumas Curry, Octopus Curry, Radish Sambol","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Octopus,  Chillies, Radish,  Coconut,  pepper","120.0, 150.0, 110.0, 15.0, 6.0, 100.0, 20.0, 60.0, 30.0, 5.0","SLA009, SLH018, SLI005, SLK006, SLK009, SLF042,  SLI005, SLK002, SLB007, SLK018"
Red Rice,"Pol Sambol, Kochchi Sambol, Seeni Sambol","Red Rice with Pol Sambol, Kochchi Sambol, Seeni Sambol","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Green chili,  Coconut, Onion,  Sugar,  chillii","120.0, 150.0, 15.0, 30.0, 9.0, 9.0, 20.0, 60.0, 50.0, 5.0, 5.0","SLA009, SLI005, SLK002, SLD060, SLE028, SLK011, SLI011"
Red Rice,"Cabbage Mallung, Spinach Curry, Mango Chutney","Red Rice with Cabbage Mallung, Spinach Curry, Mango Chutney","Red rice, Cabbage,  Coconut,  Spices, Spinach,  Coconut milk, Mango,  Vinegar,  sugar","120.0, 60.0, 30.0, 75.0, 60.0, 80.0, 40.0, 10.0, 10.0","SLA009, SLD021, SLI005, SLK006, SLI022,  SLI005, SLE030, SLI017, SLI011"
Red Rice,"Gotu Kola Sambol, Tapioca Chips, Gotu Kola Sambol","Red Rice with Gotu Kola Sambol, Tapioca Chips, Gotu Kola Sambol","Red rice, Gotu Kola,  Coconut,  Onion, Tapioca,  Oil,  Salt,  chillies","120.0, 40.0, 60.0, 60.0, 100.0, 40.0, 20.0, 20.0","SLA009, SLD048, SLI005, SLD060, SLB011,  SLJ002,  SLK002"
Red Rice,"Cabbage Mallung, Papaya Curry, Prawn Curry","Red Rice with Cabbage Mallung, Papaya Curry, Prawn Curry","Red rice, Cabbage,  Coconut,  Spices, Papaya,  Coconut milk, Prawn,  Chillies","120.0, 60.0, 30.0, 35.0, 100.0, 75.0, 50.0, 10.0","SLA009, SLD021, SLI005, SLK006, SLE038, SLI006, SLK004, SLF043,  SLI005, SLK002"
