Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
String Hoppers,Coconut Sambol,String Hoppers with Coconut Sambol,"Rice flour, Coconut,  Chili,  Onion","85.0, 50.0, 15.0, 20.0","SLI019, SLI005,  SLK002, SLD060"
String Hoppers,Kiri Hodi,String Hoppers with Kiri Hodi,"Rice flour, Coconut milk","85.0, 60.0","SLI019, SLI005"
String Hoppers,Maalu Badun,String Hoppers with Maalu Badun,"Rice flour, Fish,  Oil","85.0, 90.0, 15.0","SLI019, SLF035, SLJ002"
String Hoppers,Spicy Crab,String Hoppers with Spicy Crab,"Rice flour, Crab,  Oil,  chillies","85.0, 70.0, 20.0, 10.0","SLI019, SLF045, SLJ002, SLK002"
Vegetable Fried Rice,Chicken Curry,Vegetable Fried Rice with Chicken Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk","100.0, 20.0, 20.0, 5.0, 8.0, 2.5, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005"
Vegetable Fried Rice,Parippu,Vegetable Fried Rice with Parippu,"Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 10.0, 10.0, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC009, SLI005, SLK019"
Vegetable Fried Rice,Wambatu Moju,Vegetable Fried Rice with Wambatu Moju,"Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause","100.0, 20.0, 20.0, 10.0, 3.0, 2.5, 20.0, 0.5, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLD019, SLI017, , SLD082"
Vegetable Fried Rice,Chicken Curry,Vegetable Fried Rice with Chicken Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk","100.0, 20.0, 20.0, 5.0, 8.0, 2.5, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005"
Vegetable Fried Rice,Devilled Chicken,Vegetable Fried Rice with Devilled Chicken,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili,  Curry leaves, Onion","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 5.0, 10.0, 20.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK002"
Vegetable Fried Rice,Devilled Fish,Vegetable Fried Rice with Devilled Fish,"Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili,  Curry leaves, Onion","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 5.0, 5.0, 20.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLF006, SLK002"
Vegetable Fried Rice,Ala Badun,Vegetable Fried Rice with Ala Badun,"Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil, chilli","100.0, 20.0, 20.0, 35.0, 3.0, 2.5, 40.0, 10.0, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLB006, SLJ002"
Vegetable Fried Rice,Cashew Curry,Vegetable Fried Rice with Cashew Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLI004,  SLI005, SLK002"
Vegetable Fried Rice,Green Pea Curry,Vegetable Fried Rice with Green Pea Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Green pea,  Coconut milk,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC007,  SLI005, SLK002"
Vegetable Fried Rice,Ginger Chicken,Vegetable Fried Rice with Ginger Chicken,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK012, SLK002"
Vegetable Fried Rice,Fish Cutlets,Vegetable Fried Rice with Fish Cutlets,"Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Potatoes,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLF034,  SLB006,  SLK002"
