title,weight,price
Maliban Full Cream Milk Powder 150g,150g,Rs. 475
Cow & Gate Milk Powder - 4 Tin 400g,400g,"Rs. 3,500"
Maliban Full Cream Milk Powder 60g,60g,Rs. 185
Maliban Malt Food Drink 400g,400g,Rs. 340
Nestomalt Packet,600g,"Rs. 1,320"
Nestomalt Malt Drink Pack 400g,400g,Rs. 440
Nestomalt Malt Drink Tin 400g,400g,Rs. 580
Daily Active Malt Chocolate 180ml,180ml,Rs. 100
Ambewela Fresh Milk Packet 180ml,180ml,Rs. 120
Sunlight Detergent 2In1 Clean & Jasmine 1Kg,1Kg,Rs. 530
Pelwatte Full Cream Milk Powder 400g,400g,"Rs. 1,080"
Anlene Low Fat Milk Powder 400g,400g,"Rs. 1,090"
Pure Dale Full Cream Milk Powder 400g,400g,"Rs. 1,140"
Pelwatte Butter (Salted) 200g,200g,Rs. 830
Harischandra Red Rice String Hopper Flour 700g,700g,Rs. 280
Maliban Malted Food Drink 400g,400g,Rs. 920
Big Onion,1 Kg,Rs. 400
Air Freshener Block,,Rs. 165
Air Freshner-Gardinia,550ml,Rs. 640
Air Freshner-Jesmine,550ml,Rs. 640
Air Freshner 550ml Lavender,,Rs. 640
Air Freshner 550ml Orange,,Rs. 640
Air Freshner 550ml Rose,,Rs. 640
Air Freshner 550ml Strawbery,,Rs. 640
Air Freshner 550ml Sandlwood,,Rs. 640
Dish Wash 4L,4L,Rs. 970
Disinfactant Pine Oil,750ml,Rs. 265
Glass Cleaner,550ml,Rs. 475
Hand Wash,,Rs. 235
Laundry Liquid 1L,1L,Rs. 495
Maxol Dish Liquid 250ml Lime,250ml,Rs. 100
Maxol Dish Liquid 250ml Orange,250ml,Rs. 100
Maxol Dish Liquid 500ml Lime,500ml,Rs. 180
Scouring Powder 500g,500g,Rs. 175
Tile Cleaner 1L,1L,Rs. 380
Toilet Bowl Cleaner 4L Rose,4L,Rs. 970
Air Freshner 150ml Fantastic,150ml,Rs. 285
Air Freshner 150ml Volly,150ml,Rs. 285
Hand Sanitizer 4L,4L,"Rs. 3,700"
Brake Oil Red,50ml,Rs. 240
Brake Oil,50ml,Rs. 240
Car Wash,250ml,Rs. 330
Engine Cleaner 4L,4L,"Rs. 2,330"
Front Fork Oil 350ml,350ml,"Rs. 1,600"
Grapite Grease Boot 100g,100g,Rs. 510
Leather Conditioner 300ml,300ml,"Rs. 1,075"
Liquid Car Wax,100ml,Rs. 215
Lubromax High Temp,50g,Rs. 140
Max E Plus Economic Fuel Treatment 100ml,100ml,Rs. 260
Radiator Coolant 4L Max,4L,"Rs. 1,540"
Power Steering Fluid,225ml,"Rs. 1,130"
Radiator Coolant 4L RTU,Green,"Rs. 2,545"
Radiator Flush 350ml,350ml,Rs. 360
Radiator Coolant Green,500ml,Rs. 485
Radiator Coolant Red,1 L,Rs. 925
Radiator Coolant 1L Blue,1L,Rs. 840
Radiator Coolant Pilot 4L,4L,"Rs. 1,460"
Rubber Grease Tube,10g,Rs. 195
Shock Absober Fluid 325ml,Thin,"Rs. 1,295"
Speed Wax,300ml,Rs. 590
Battery Water,1 L,Rs. 240
Engine Degreaser 1L,1L,"Rs. 1,460"
Super Shine,250ml,Rs. 600
Super Shine Spray 300ml,300ml,"Rs. 1,315"
Tire Shine,225ml,Rs. 840
Tire Shine Spray 300ml,300ml,"Rs. 1,335"
Upholstery Cleaner,500ml,Rs. 575
Wash & Wax,500ml,Rs. 790
Wheel & Tyre Cleaner 390ml,390ml,Rs. 495
Windscreen Cleaner 250ml,250ml,Rs. 260
Carnauba Spray Wax 200ml,200ml,Rs. 215
Antifreeze Hybrid Coolant 1L,Blue,"Rs. 2,155"
Microfiber Cloth (Large),,Rs. 360
Microfiber Cloth-Wash Mit,,Rs. 575
Alipera,,Rs. 100
Ambaralla,,Rs. 100
Annasi,,Rs. 100
Beli,,Rs. 100
Comadu ,,Rs. 100
Lime,1Kg,Rs. 700
Delum,,Rs. 100
Diul,,Rs. 100
Duriyan,,Rs. 100
Gaslabu,,Rs. 100
Kesel,,Rs. 100
Grape,,Rs. 100
Amla Fruit,,Rs. 100
Passion Fruit,,Rs. 100
Guava,,Rs. 100
Rambutan,,Rs. 100
Soursop,,Rs. 100
Ash gourd,1Kg,Rs. 300
Potato (Lanka),1Kg,Rs. 470
Bandakka,250g,Rs. 87
Beetroot,250g,Rs. 100
Green Beans,1Kg,Rs. 700
Wing Beans,250g,Rs. 105
Pennywort Leaves,,Rs. 90
Cabbage,1Kg,Rs. 450
Ginger,100g,Rs. 145
Chinese potatoes,,Rs. 100
Marrow,250g,Rs. 45
Water Spinach Leaves,,Rs. 90
Curry Leaves,,Rs. 50
Bitter Gourd,1Kg,Rs. 800
Carrot,1Kg,Rs. 320
Plantation Flower,250g,Rs. 45
Leeks,1Kg,Rs. 800
Capsicum,1Kg,"Rs. 1,100"
Cassava,500g,Rs. 170
Sessile Joyweed Leaves,,Rs. 90
Drumstick,250g,Rs. 100
Knol Khol,1Kg,Rs. 550
Radish,,Rs. 100
Mushroom,1 Pkt,Rs. 120
Lettuce Leaves,100g,Rs. 110
Horse Purslane Leaves,,Rs. 90
Tomato,1Kg,Rs. 700
Brinjal,1 Kg,Rs. 900
Ridge Gourd,250g,Rs. 80
Pumpkin,1Kg,Rs. 350
Lotus Root,,Rs. 100
Green Chili,100g,Rs. 140
Cushion 1,,"Rs. 1,590"
Cushion 2,,"Rs. 1,590"
Cushion 3,,"Rs. 1,590"
Cushion 4,,"Rs. 1,590"
Cushion 5,,"Rs. 1,590"
Cushion 6,,"Rs. 1,590"
Cushion 7,,"Rs. 1,590"
Cushion 8,,"Rs. 1,590"
Cushion 9,,"Rs. 1,590"
Cushion 10,,"Rs. 1,590"
Pillow 1,,"Rs. 1,950"
Pillow 2,,"Rs. 1,950"
Pillow 3,,"Rs. 1,950"
Tote Bag 1,,"Rs. 1,795"
Tote Bag 2,,"Rs. 1,795"
Pouch 1,,"Rs. 1,100"
Pouch 2,,"Rs. 1,100"
Pouch 3,,"Rs. 1,100"
Pouch 4,,"Rs. 1,100"
Sack Bag 1,,"Rs. 1,950"
Sack Bag 2,,Rs. 490
Sack Bag 3,,Rs. 490
Pouch 5,,"Rs. 1,100"
Pouch 6,,"Rs. 1,100"
T Shirt 1,,"Rs. 1,890"
T Shirt 2,,"Rs. 1,890"
Ladies Dress 1,,"Rs. 2,000"
Ladies Dress 2,,"Rs. 2,000"
Ladies Dress 3,,"Rs. 2,000"
Sera Coconut Milk,,Rs. 135
Anchor Milk Powder 400g,400g,"Rs. 1,080"
Green Gram,500g,Rs. 825
Peas,,Rs. 360
Egg (Pack),,Rs. 55
Chicken Breast 1Kg,1 Kg,"Rs. 1,990"
Dry Fish (Katta),250g,Rs. 812
Dry Fish (Thalapath),,Rs. 930
Maggi Noodles 73g,73g,Rs. 125
Sliced Bread 325g,325g,Rs. 220
Instant Oats,500g,Rs. 775
White Rice (Samba) 1Kg,1Kg,Rs. 230
Lipton Ceylonta Black Tea Bags 50s 100g,100g,Rs. 700
Renuka Coconut Milk Powder,150g,Rs. 395
Wijaya Chilli Powder 50g,50g,Rs. 80
Tess Jack Tuna Mackerel Fish 425g,425g,Rs. 690
Wijaya Roasted Chilli Powder 100g,100g,Rs. 300
Wijaya Roasted Chilli Powder 50g,50g,Rs. 180
White Rice (Keeri Samba) 1Kg,1Kg,Rs. 380
Diamond Jack Mackerel Fish 425g,425g,Rs. 850
Dry Fish (Halmassa),1Kg,"Rs. 1,400"
Prima Kottu Mee 80g,80g,Rs. 130
Red Onion,1Kg,Rs. 620
Harischandra Special Noodles 400g,400g,Rs. 340
Raigam Soya Meat Chicken 90g,90g,Rs. 170
Raigam Soya Meat Polos Ambula 90g,90g,Rs. 170
Sera Coconut Milk 1L,1L,Rs. 480
MD Chinese Chilli Past With Maldive Fish,,Rs. 880
Ice Cream Cones 100 Nos Pack,,Rs. 720
